Region,Side,Treatment F value,Genotype F Value,Time.Point F Value,Treatment:Genotype F Value,Treatment:Time.Point F Value,Genotype:Time Point F Value,Treatment:Genotype:Time Point F Value,Treatment P value,Genotype P Value,Time.Point P Value,Treatment:Genotype P Value,Treatment:Time.Point P Value,Genotype:Time Point P Value,Treatment:Genotype:Time Point P Value
Brain Volume,Left,3.429,0.2078,0.7568,5.2985,0.2355,1.0787,0.1534,0.018214,0.649035,0.38544,0.001578,0.871545,0.300324,0.927421
Exterior,Left,1.4354,1.05,0.6565,0.8439,0.5538,4.6783,4.1479,0.233866,0.306832,0.41881,0.471435,0.646232,0.031809,0.007111
A24a,Left,0.6146,5.4752,0.8953,0.6635,2.1409,0.0407,3.2366,0.60635,0.02034,0.34527,0.57546,0.09652,0.84025,0.02341
A24a Prime,Left,0.3834,4.4261,0.1953,1.1998,1.2592,2.5174,3.0196,0.76511,0.03672,0.65904,0.31119,0.28974,0.11428,0.03106
A24b,Left,2.0521,0.7276,4.1625,0.2337,1.5788,0.076,0.4982,0.10808,0.39475,0.04273,0.87279,0.19595,0.78308,0.68394
A24b Prime,Left,0.2295,0.5798,16.3377,0.104,1.1392,0.004,4.1479,0.875761,0.447346,7.72E-05,0.957667,0.334524,0.949928,0.007111
A29a,Left,0.8301,5.1658,1.6138,1.7008,0.0812,2.8869,0.4455,0.47884,0.02417,0.20552,0.16833,0.97017,0.09096,0.7208
A29b,Left,1.9927,2.1886,1.8145,0.4256,0.4688,0.0696,2.5732,0.11655,0.14071,0.17959,0.73486,0.70439,0.79218,0.05541
A29c,Left,1.7816,1.3032,6.9374,1.4508,1.3372,0.0173,0.7196,0.15213,0.255073,0.009144,0.229468,0.263638,0.895474,0.541426
A30,Left,0.8056,0.357,3.3223,2.8465,0.4626,1.4686,0.0967,0.49219,0.55091,0.06993,0.0389,0.70872,0.22708,0.9618
A32,Left,1.1288,2.5145,11.2733,1.0307,0.3427,0.3248,2.5822,0.3386609,0.1144828,0.0009517,0.38022089,0.7944832,0.5694293,0.0547666
Au1,Left,4.4033,2.2604,27.8386,2.3768,0.9175,3.9856,0.9883,0.00509,0.1344,3.61E-07,0.07136,0.43353,0.04733,0.39945
AuD,Left,2.3029,0.2658,6.2449,1.6137,0.79,7.9702,0.6166,0.078453,0.606753,0.013312,0.187639,0.500865,0.005268,0.605023
AuV,Left,1.287,0.9608,26.961,2.3441,0.6726,0.2905,0.2271,0.2802,0.32823,5.36E-07,0.07442,0.56986,0.59052,0.87743
DLO,Left,1.0802,6.9329,4.4918,0.8915,0.1719,4.0814,1.1938,0.358728,0.009166,0.03537,0.446616,0.915275,0.044776,0.31344
Fr3,Left,0.6944,0.1612,7.0303,1.2294,0.211,0.2782,1.0779,0.556534,0.688527,0.008698,0.300326,0.888683,0.598498,0.359694
FrA,Left,2.5457,1.6405,23.2666,0.0914,0.8461,1.4462,0.4651,0.05741,0.20184,2.91E-06,0.96473,0.47024,0.223064,0.70701
Ins,Left,2.2784,0.3831,57.3873,2.1672,0.2424,0.24253,0.8566,0.08096,0.5367,1.58E-12,0.09334,0.86669,0.62098,0.46468
LO,Left,3.3009,1.1205,18.8225,2.0957,0.0612,1.0504,1.4862,0.02153,0.29117,2.23E-05,0.10224,0.98012,0.30674,0.2197
LPtA,Left,0.5722,0.8542,4.575,0.5701,0.9335,1.2448,2.0669,0.63399,0.35655,0.03373,0.63537,0.4256,0.26596,0.10606
M1,Left,2.5973,0.3702,0.0248,0.2953,0.2033,0.4344,0.3485,0.05371,0.5436,0.87505,0.82873,0.89404,0.51065,0.79028
M2,Left,1.6731,0.0026,0.1773,0.6519,1.8666,0.1087,2.626,0.17426,0.9592,0.67419,0.58268,0.13671,0.74203,0.05175
MO,Left,1.6606,3.5076,16.3632,3.4258,0.456,1.2714,1.0312,0.17701,0.06264,7.63E-05,0.01829,0.71336,0.26095,0.37997
MPtA,Left,0.5277,0.3736,9.54,0.3006,0.098,0.0306,1.2904,0.663805,0.541763,0.002315,0.824929,0.961045,0.861364,0.279027
PtPR,Left,0.98382,0.2561,3.2511,0.1323,1.1169,0.0002,0.7558,0.42333,0.61337,0.07298,0.94075,0.34351,0.98917,0.52024
